INDICATOR,YEAR,WHOREGION,COUNTRY,EXPENDITURES
Per capita total expenditure on health (PPP int. $),1996,Western Pacific,Palau,2044.7
Per capita total expenditure on health (PPP int. $),2009,Western Pacific,Palau,1479.8
Per capita total expenditure on health (PPP int. $),2000,Western Pacific,Palau,1566
Per capita total expenditure on health (PPP int. $),2010,Western Pacific,Palau,1659.3
Per capita total expenditure on health (PPP int. $),1995,Western Pacific,Palau,1836.6
Per capita total expenditure on health at average exchange rate (US$),2006,Western Pacific,Palau,847.3
Per capita total expenditure on health at average exchange rate (US$),1998,Western Pacific,Palau,761.7
Per capita total expenditure on health at average exchange rate (US$),2011,Western Pacific,Palau,922.5
Per capita total expenditure on health at average exchange rate (US$),2002,Western Pacific,Palau,663.1
Per capita total expenditure on health at average exchange rate (US$),2001,Western Pacific,Palau,668.3
Per capita total expenditure on health at average exchange rate (US$),1999,Western Pacific,Palau,803.8
Per capita total expenditure on health at average exchange rate (US$),2003,Western Pacific,Palau,680.5
Per capita total expenditure on health at average exchange rate (US$),1995,Western Pacific,Palau,763.4
Per capita total expenditure on health at average exchange rate (US$),2005,Western Pacific,Palau,781.9
Per capita total expenditure on health at average exchange rate (US$),2004,Western Pacific,Palau,787.9
Per capita total expenditure on health at average exchange rate (US$),1997,Western Pacific,Palau,857.8
Per capita total expenditure on health at average exchange rate (US$),2009,Western Pacific,Palau,872.4
Per capita total expenditure on health at average exchange rate (US$),2008,Western Pacific,Palau,903.5
Per capita total expenditure on health at average exchange rate (US$),2000,Western Pacific,Palau,908.4
Per capita total expenditure on health at average exchange rate (US$),2010,Western Pacific,Palau,967.9
Per capita total expenditure on health at average exchange rate (US$),2012,Western Pacific,Palau,971.7
Per capita total expenditure on health at average exchange rate (US$),1996,Western Pacific,Palau,859.4
Per capita total expenditure on health at average exchange rate (US$),2007,Western Pacific,Palau,899.2
Per capita government expenditure on health (PPP int. $),1996,Americas,Panama,268.4
Per capita government expenditure on health (PPP int. $),1999,Americas,Panama,308.4
Per capita government expenditure on health (PPP int. $),2006,Americas,Panama,457.9
Per capita government expenditure on health (PPP int. $),1995,Americas,Panama,296.8
Per capita government expenditure on health (PPP int. $),1997,Americas,Panama,300.4
Per capita government expenditure on health (PPP int. $),2002,Americas,Panama,397.5
Per capita government expenditure on health (PPP int. $),2004,Americas,Panama,461.6
Per capita government expenditure on health (PPP int. $),2005,Americas,Panama,459.1
Per capita government expenditure on health (PPP int. $),2007,Americas,Panama,474.8
Per capita government expenditure on health (PPP int. $),2001,Americas,Panama,364.6
Per capita government expenditure on health (PPP int. $),2003,Americas,Panama,377.6
Per capita government expenditure on health (PPP int. $),1998,Americas,Panama,310.6
Per capita government expenditure on health (PPP int. $),2000,Americas,Panama,368.9
Per capita government expenditure on health (PPP int. $),2009,Americas,Panama,756.1
Per capita government expenditure on health (PPP int. $),2010,Americas,Panama,821.2
Per capita government expenditure on health (PPP int. $),2008,Americas,Panama,613.4
Per capita government expenditure on health (PPP int. $),2011,Americas,Panama,805.6
Per capita government expenditure on health (PPP int. $),2012,Americas,Panama,864.9
Per capita government expenditure on health at average exchange rate (US$),1997,Americas,Panama,171.1
Per capita government expenditure on health at average exchange rate (US$),1999,Americas,Panama,173.9
Per capita government expenditure on health at average exchange rate (US$),1998,Americas,Panama,176.2
Per capita government expenditure on health at average exchange rate (US$),2001,Americas,Panama,196.3
Per capita government expenditure on health at average exchange rate (US$),2003,Americas,Panama,201.4
Per capita government expenditure on health at average exchange rate (US$),2005,Americas,Panama,239.2
Per capita government expenditure on health at average exchange rate (US$),2000,Americas,Panama,201
Per capita government expenditure on health at average exchange rate (US$),1995,Americas,Panama,150.5
Per capita government expenditure on health at average exchange rate (US$),1996,Americas,Panama,153.3
Per capita government expenditure on health at average exchange rate (US$),2006,Americas,Panama,236
Per capita government expenditure on health at average exchange rate (US$),2009,Americas,Panama,403.9
Per capita government expenditure on health at average exchange rate (US$),2004,Americas,Panama,244.2
Per capita government expenditure on health at average exchange rate (US$),2012,Americas,Panama,496.3
Per capita government expenditure on health at average exchange rate (US$),2002,Americas,Panama,214.1
Per capita government expenditure on health at average exchange rate (US$),2010,Americas,Panama,442.6
Per capita government expenditure on health at average exchange rate (US$),2011,Americas,Panama,452.7
Per capita government expenditure on health at average exchange rate (US$),2007,Americas,Panama,245
Per capita government expenditure on health at average exchange rate (US$),2008,Americas,Panama,326.8
Per capita total expenditure on health (PPP int. $),1999,Americas,Panama,465.3
Per capita total expenditure on health (PPP int. $),1998,Americas,Panama,465.7
Per capita total expenditure on health (PPP int. $),1996,Americas,Panama,416.4
Per capita total expenditure on health (PPP int. $),1995,Americas,Panama,436.7
Per capita total expenditure on health (PPP int. $),1997,Americas,Panama,438.8
Per capita total expenditure on health (PPP int. $),2003,Americas,Panama,568.9
Per capita total expenditure on health (PPP int. $),2004,Americas,Panama,656.1
Per capita total expenditure on health (PPP int. $),2006,Americas,Panama,679
Per capita total expenditure on health (PPP int. $),2007,Americas,Panama,739.6
Per capita total expenditure on health (PPP int. $),2005,Americas,Panama,660
Per capita total expenditure on health (PPP int. $),2009,Americas,Panama,1012.6
Per capita total expenditure on health (PPP int. $),2012,Americas,Panama,1260.4
Per capita total expenditure on health (PPP int. $),2010,Americas,Panama,1163.4
Per capita total expenditure on health (PPP int. $),2000,Americas,Panama,542
Per capita total expenditure on health (PPP int. $),2001,Americas,Panama,543.5
Per capita total expenditure on health (PPP int. $),2002,Americas,Panama,575.7
Per capita total expenditure on health (PPP int. $),2008,Americas,Panama,887.4
Per capita total expenditure on health (PPP int. $),2011,Americas,Panama,1180.7
Per capita total expenditure on health at average exchange rate (US$),1995,Americas,Panama,221.4
Per capita total expenditure on health at average exchange rate (US$),1998,Americas,Panama,264.1
Per capita total expenditure on health at average exchange rate (US$),2006,Americas,Panama,349.9
Per capita total expenditure on health at average exchange rate (US$),2007,Americas,Panama,381.6
Per capita total expenditure on health at average exchange rate (US$),1999,Americas,Panama,262.3
Per capita total expenditure on health at average exchange rate (US$),2002,Americas,Panama,310
Per capita total expenditure on health at average exchange rate (US$),1996,Americas,Panama,237.9
Per capita total expenditure on health at average exchange rate (US$),1997,Americas,Panama,249.9
Per capita total expenditure on health at average exchange rate (US$),2003,Americas,Panama,303.5
Per capita total expenditure on health at average exchange rate (US$),2004,Americas,Panama,347.1
Per capita total expenditure on health at average exchange rate (US$),2008,Americas,Panama,472.7
Per capita total expenditure on health at average exchange rate (US$),2001,Americas,Panama,292.6
Per capita total expenditure on health at average exchange rate (US$),2000,Americas,Panama,295.3
Per capita total expenditure on health at average exchange rate (US$),2005,Americas,Panama,343.8
Per capita total expenditure on health at average exchange rate (US$),2011,Americas,Panama,663.5
Per capita total expenditure on health at average exchange rate (US$),2012,Americas,Panama,723.3
Per capita total expenditure on health at average exchange rate (US$),2009,Americas,Panama,540.8
Per capita total expenditure on health at average exchange rate (US$),2010,Americas,Panama,627.1
Per capita government expenditure on health (PPP int. $),2006,Western Pacific,Papua New Guinea,50.9
Per capita government expenditure on health (PPP int. $),2009,Western Pacific,Papua New Guinea,70.5
Per capita government expenditure on health (PPP int. $),1997,Western Pacific,Papua New Guinea,50
Per capita government expenditure on health (PPP int. $),1998,Western Pacific,Papua New Guinea,56.1
Per capita government expenditure on health (PPP int. $),2000,Western Pacific,Papua New Guinea,56.3
Per capita government expenditure on health (PPP int. $),2001,Western Pacific,Papua New Guinea,64.7
Per capita government expenditure on health (PPP int. $),1996,Western Pacific,Papua New Guinea,61.6
Per capita government expenditure on health (PPP int. $),2008,Western Pacific,Papua New Guinea,79.3
Per capita government expenditure on health (PPP int. $),1995,Western Pacific,Papua New Guinea,55.4
Per capita government expenditure on health (PPP int. $),1999,Western Pacific,Papua New Guinea,60.2
Per capita government expenditure on health (PPP int. $),2002,Western Pacific,Papua New Guinea,61.8
Per capita government expenditure on health (PPP int. $),2003,Western Pacific,Papua New Guinea,56.8
Per capita government expenditure on health (PPP int. $),2005,Western Pacific,Papua New Guinea,57
Per capita government expenditure on health (PPP int. $),2004,Western Pacific,Papua New Guinea,67.4
Per capita government expenditure on health (PPP int. $),2007,Western Pacific,Papua New Guinea,68
Per capita government expenditure on health (PPP int. $),2010,Western Pacific,Papua New Guinea,76
Per capita government expenditure on health (PPP int. $),2012,Western Pacific,Papua New Guinea,125.2
Per capita government expenditure on health (PPP int. $),2011,Western Pacific,Papua New Guinea,87.5
Per capita government expenditure on health at average exchange rate (US$),1998,Western Pacific,Papua New Guinea,23.4
Per capita government expenditure on health at average exchange rate (US$),2006,Western Pacific,Papua New Guinea,23.7
Per capita government expenditure on health at average exchange rate (US$),1999,Western Pacific,Papua New Guinea,22.1
Per capita government expenditure on health at average exchange rate (US$),1997,Western Pacific,Papua New Guinea,26.6
Per capita government expenditure on health at average exchange rate (US$),2000,Western Pacific,Papua New Guinea,21.2
